HUGO_symbols,TCGA-AF-3911-01A-01R-1736-07,TCGA-AG-3583-01A-01R-0821-07,TCGA-AG-3592-01A-02R-1736-07,TCGA-AG-3601-01A-01R-0826-07,TCGA-AG-3731-01A-11R-1736-07,TCGA-AG-4001-01A-02R-1119-07,TCGA-AG-4007-01A-01R-1119-07,TCGA-AH-6549-01A-11R-1830-07,TCGA-AH-6644-01A-21R-1830-07,TCGA-AH-6897-01A-11R-1928-07,TCGA-DY-A1DD-01A-21R-A155-07,TCGA-DY-A1DF-01A-11R-A155-07,TCGA-EI-6510-01A-11R-1736-07,TCGA-EI-7002-01A-11R-1928-07,TCGA-F5-6571-01A-12R-1830-07,TCGA-F5-6811-01A-11R-1830-07,TCGA-F5-6863-01A-11R-1928-07,TCGA-F5-6864-01A-11R-1928-07,TCGA-G5-6233-01A-11R-1736-07
CLEC14A,168.0203,147.8555,201.2176,272.2499,402.9437,301.2393,325.3012,245.712,217.8796,69.7232,170.2863,312.8079,95.1365,209.8032,186.2638,133.4586,279.5539,341.408,280.3427
CLIC2,80.5304,64.3341,91.6373,53.625,228.9974,108.6749,83.1325,73.0754,142.8571,16.4054,71.1196,55.4187,59.727,80.2079,210.3497,135.3383,64.3123,163.891,89.9572
COL1A1,40633.7381,6395.0339,16962.512,27204.3601,146702.4754,173597.7121,45956.6265,68883.2868,113527.8527,21467.1159,9658.7388,15552.3399,3369.4539,42410.3231,52511.1497,220053.5714,11747.2119,122219.5307,35079.486
COL3A1,32721.5395,7839.7291,19400.1922,17351.803,98385.9314,93277.4071,31953.012,67680.8935,75782.5696,16160.539,9422.3413,12946.4286,2694.5392,42207.5752,46624.57,141085.5263,20511.5242,80138.1529,17385.0547
COL6A1,5072.7549,1593.6795,3876.0013,4022.904,12313.8679,15721.6397,8706.0241,7933.3067,10183.7376,2953.5667,5370.0284,3939.6552,1072.9522,5496.4723,5501.6077,10426.6917,3940.8922,9482.2104,3053.3079
COL6A2,6653.8691,2678.3296,4633.1304,5794.5906,15443.7542,23002.8599,11839.759,8633.7455,11782.5696,2943.0204,4868.1846,6719.8276,1207.7645,6762.7182,8141.416,10900.3759,5878.8104,16180.1665,4309.8525
CR2,11.599,15.8014,15.7001,1.0312,250.7885,5.7197,14.4578,229.7567,92.5427,5.8591,3.5059,0,26.8771,11.5113,4.4157,43.703,1.1152,4.9205,4.2837
CSF1R,461.3102,406.3205,402.1147,313.4998,1808.2768,1177.3117,1098.7952,800.6382,597.035,134.759,151.7551,130.5419,165.9556,790.1968,1317.0941,701.1278,156.8773,724.0727,335.0785
CTLA4,25.8493,18.0587,44.537,6.1875,111.6315,32.4118,24.0964,23.6139,59.7484,11.7182,15.5261,3.6946,26.8771,37.876,98.3505,36.6541,5.2045,34.8221,28.0819
CXCR1,13.256,48.5327,16.6613,8.25,91.7519,11.4395,21.6867,14.0407,28.7511,3.5155,1.5025,0.6158,4.2662,10.7687,6.4229,10.3383,0,8.7055,5.2356
CXCR2,24.1923,54.1761,20.1858,14.4375,95.1926,18.1125,34.9398,19.4655,53.4591,10.5464,4.0067,1.2315,26.4505,31.5633,23.6844,23.9662,7.8067,9.841,4.7596
CXorf36,150.456,92.5508,163.4092,135.0937,462.9647,276.4538,157.8313,231.3522,201.2579,75.5822,145.745,216.133,112.628,132.9372,185.0596,129.2293,167.2862,339.5155,278.4388
CYP4F3,371.1691,99.3228,371.9962,193.8749,49.3166,672.0686,526.506,125.728,173.4052,194.5218,263.4429,303.5714,40.9556,462.3097,1064.1928,233.5526,124.9071,188.1151,404.0933
DCN,4962.7298,1305.8691,2905.1586,2437.8737,7860.4607,7717.8265,4179.5181,2911.8468,7345.9119,481.6171,445.7494,978.4483,366.041,3731.8975,8477.4135,12272.5564,1330.4833,7414.4587,1110.4236
EDN1,987.9063,66.5914,199.9359,285.6561,488.9611,1568.1602,1620.4819,1923.2549,394.8787,458.1808,139.7349,133.6207,347.6962,581.8789,1163.7476,906.485,433.829,1089.3263,175.6307
ELTD1,245.2367,163.6569,271.3874,306.2811,831.1192,245.9485,196.3855,367.2916,296.0467,90.23,99.1667,235.2217,91.2969,174.1552,295.453,196.4286,140.5204,359.1976,511.6611
EMCN,119.3044,58.6907,106.3762,100.0312,361.2731,84.8427,77.1084,191.4639,188.6792,45.7009,63.1061,137.931,43.942,110.6573,137.2893,101.5038,95.1673,232.0212,209.9
EOMES,1.657,5.6433,4.1653,1.0312,30.9663,5.7197,25.3012,0.9573,16.6217,1.7577,0,1.2315,8.1058,4.0847,34.1216,4.6992,1.487,10.9765,3.3317
ESAM,414.914,339.7291,395.3861,531.0935,740.5142,584.3661,639.759,452.1739,430.8176,216.7863,263.9438,477.2167,166.3823,299.6658,343.2232,271.1466,381.7844,658.9705,851.0233
ESM1,117.316,244.921,134.5723,144.3749,369.6836,102.9552,59.0361,236.1388,103.7736,290.0249,38.064,96.0591,96.843,175.2692,156.1565,65.7895,88.4758,232.7782,467.3965
FAM124B,15.2444,2.2573,14.098,9.2812,27.1433,26.6921,4.8193,11.8069,28.3019,2.9295,10.0168,28.3251,3.8396,8.5407,28.1001,15.9774,31.2268,41.2566,19.9905
FCGR3B,118.6416,75.6208,59.5963,82.5,274.4911,287.8932,213.253,62.2258,63.7916,2.9295,0.5008,5.5419,10.6655,28.5926,25.2901,47.4624,0.3717,31.7941,15.2308
FCRL2,1.657,14.6727,8.6511,1.0312,24.8495,1.9066,24.0964,0.6382,5.3908,5.8591,1.5025,0,15.785,5.1987,4.4157,6.5789,1.1152,9.4625,7.6154
FGFBP2,2.6512,2.2573,0.9612,1.0312,6.8814,2.8599,0,1.9146,1.7969,0.5859,1.0017,0,2.9863,1.8567,1.2043,0.4699,1.1152,5.299,0.9519
FLT3LG,44.4077,38.3747,59.2759,70.125,69.9608,105.8151,195.1807,40.8456,47.619,11.7182,69.617,58.4975,35.8362,40.8466,97.1462,76.5977,48.3271,95.3823,31.4136
FPR3,250.5391,145.5982,207.6258,155.7187,1131.6066,775.9771,331.3253,206.781,265.0494,56.8332,31.553,32.0197,65.6997,389.5284,599.7375,472.2744,31.5985,196.0636,224.179
GNLY,52.6928,31.6027,75.2964,4.125,152.9198,94.3756,66.2651,13.0834,15.274,21.6786,43.5733,65.2709,18.3447,12.6253,83.0962,85.9962,7.0632,81.3777,14.7549
